STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",21/04/2018,0.22,,47,32
USW00025333,"SITKA AIRPORT, AK US",22/04/2018,0.13,,47,41
USW00025333,"SITKA AIRPORT, AK US",23/04/2018,0.49,,45,43
USW00025333,"SITKA AIRPORT, AK US",24/04/2018,0.23,,46,41
USW00025333,"SITKA AIRPORT, AK US",25/04/2018,0.11,,45,41
USW00025333,"SITKA AIRPORT, AK US",26/04/2018,0.04,,45,41
USW00025333,"SITKA AIRPORT, AK US",27/04/2018,0.01,,46,40
USW00025333,"SITKA AIRPORT, AK US",28/04/2018,0.02,,47,38
USW00025333,"SITKA AIRPORT, AK US",29/04/2018,0.01,,46,38
USW00025333,"SITKA AIRPORT, AK US",30/04/2018,0.08,,44,39
USW00025333,"SITKA AIRPORT, AK US",01/05/2018,0.88,,44,42
USW00025333,"SITKA AIRPORT, AK US",02/05/2018,0.14,,47,36
USW00025333,"SITKA AIRPORT, AK US",03/05/2018,0.03,,45,36
USW00025333,"SITKA AIRPORT, AK US",04/05/2018,0.1,,48,42
USW00025333,"SITKA AIRPORT, AK US",05/05/2018,0.31,,50,44
USW00025333,"SITKA AIRPORT, AK US",06/05/2018,0,,56,41
USW00025333,"SITKA AIRPORT, AK US",07/05/2018,0,,53,43
USW00025333,"SITKA AIRPORT, AK US",08/05/2018,0,,51,43
USW00025333,"SITKA AIRPORT, AK US",09/05/2018,0.2,,56,43
USW00025333,"SITKA AIRPORT, AK US",10/05/2018,0,,52,43
USW00025333,"SITKA AIRPORT, AK US",11/05/2018,0.76,,48,44
USW00025333,"SITKA AIRPORT, AK US",12/05/2018,0.16,,49,44
USW00025333,"SITKA AIRPORT, AK US",13/05/2018,0.16,,54,43
USW00025333,"SITKA AIRPORT, AK US",14/05/2018,0.27,,45,39
USW00025333,"SITKA AIRPORT, AK US",15/05/2018,0.03,,50,38
USW00025333,"SITKA AIRPORT, AK US",16/05/2018,0,,51,38
USW00025333,"SITKA AIRPORT, AK US",17/05/2018,0,,57,38
USW00025333,"SITKA AIRPORT, AK US",18/05/2018,0,,52,45
USW00025333,"SITKA AIRPORT, AK US",19/05/2018,0,,50,45
USW00025333,"SITKA AIRPORT, AK US",20/05/2018,0.37,,52,46
USW00025333,"SITKA AIRPORT, AK US",21/05/2018,0.63,,53,47
USW00025333,"SITKA AIRPORT, AK US",22/05/2018,0.16,,52,44
USW00025333,"SITKA AIRPORT, AK US",23/05/2018,0,,55,42
USW00025333,"SITKA AIRPORT, AK US",24/05/2018,0.17,,52,45
USW00025333,"SITKA AIRPORT, AK US",25/05/2018,0.11,,50,45
USW00025333,"SITKA AIRPORT, AK US",26/05/2018,0.31,,52,44
USW00025333,"SITKA AIRPORT, AK US",27/05/2018,0.23,,51,45
USW00025333,"SITKA AIRPORT, AK US",28/05/2018,1.03,,50,42
USW00025333,"SITKA AIRPORT, AK US",29/05/2018,0,,54,41
USW00025333,"SITKA AIRPORT, AK US",30/05/2018,0,,53,44
USW00025333,"SITKA AIRPORT, AK US",31/05/2018,0,,54,42
USW00025333,"SITKA AIRPORT, AK US",01/06/2018,0.02,,58,44
USW00025333,"SITKA AIRPORT, AK US",02/06/2018,0.19,,53,45
USW00025333,"SITKA AIRPORT, AK US",03/06/2018,0,,57,43
USW00025333,"SITKA AIRPORT, AK US",04/06/2018,0.07,,52,46
USW00025333,"SITKA AIRPORT, AK US",05/06/2018,0,,63,44
USW00025333,"SITKA AIRPORT, AK US",06/06/2018,0.07,,57,47
USW00025333,"SITKA AIRPORT, AK US",07/06/2018,0.04,,59,48
USW00025333,"SITKA AIRPORT, AK US",08/06/2018,0.02,,59,45
USW00025333,"SITKA AIRPORT, AK US",09/06/2018,0.19,,60,44
USW00025333,"SITKA AIRPORT, AK US",10/06/2018,1.09,,53,46
USW00025333,"SITKA AIRPORT, AK US",11/06/2018,0.07,,51,49
USW00025333,"SITKA AIRPORT, AK US",12/06/2018,0.02,,63,46
USW00025333,"SITKA AIRPORT, AK US",13/06/2018,0.1,,56,49
USW00025333,"SITKA AIRPORT, AK US",14/06/2018,0.01,,54,49
USW00025333,"SITKA AIRPORT, AK US",15/06/2018,0,,60,50
USW00025333,"SITKA AIRPORT, AK US",16/06/2018,0.36,,57,48
USW00025333,"SITKA AIRPORT, AK US",17/06/2018,0.02,,54,52
USW00025333,"SITKA AIRPORT, AK US",18/06/2018,0,,62,52
USW00025333,"SITKA AIRPORT, AK US",19/06/2018,0,,67,52
USW00025333,"SITKA AIRPORT, AK US",20/06/2018,0,,62,52
USW00025333,"SITKA AIRPORT, AK US",21/06/2018,0,,57,52
USW00025333,"SITKA AIRPORT, AK US",22/06/2018,0,,60,52
USW00025333,"SITKA AIRPORT, AK US",23/06/2018,0,,57,49
USW00025333,"SITKA AIRPORT, AK US",24/06/2018,0.05,,61,50
USW00025333,"SITKA AIRPORT, AK US",25/06/2018,0.01,,60,50
USW00025333,"SITKA AIRPORT, AK US",26/06/2018,0.11,,55,49
USW00025333,"SITKA AIRPORT, AK US",27/06/2018,0,,56,50
USW00025333,"SITKA AIRPORT, AK US",28/06/2018,0.2,,61,50
USW00025333,"SITKA AIRPORT, AK US",29/06/2018,0.38,,57,51
USW00025333,"SITKA AIRPORT, AK US",30/06/2018,0.14,,57,51
USW00025333,"SITKA AIRPORT, AK US",01/07/2018,0.25,,62,50
USW00025333,"SITKA AIRPORT, AK US",02/07/2018,0.01,,58,53
USW00025333,"SITKA AIRPORT, AK US",03/07/2018,0,,70,54
USW00025333,"SITKA AIRPORT, AK US",04/07/2018,0,,70,55
USW00025333,"SITKA AIRPORT, AK US",05/07/2018,0,,67,55
USW00025333,"SITKA AIRPORT, AK US",06/07/2018,0,,59,55
USW00025333,"SITKA AIRPORT, AK US",07/07/2018,0,,58,55
USW00025333,"SITKA AIRPORT, AK US",08/07/2018,0,,62,54
USW00025333,"SITKA AIRPORT, AK US",09/07/2018,0,,66,55
USW00025333,"SITKA AIRPORT, AK US",10/07/2018,0.44,,59,53
USW00025333,"SITKA AIRPORT, AK US",11/07/2018,0.29,,56,50
USW00025333,"SITKA AIRPORT, AK US",12/07/2018,0.02,,63,49
USW00025333,"SITKA AIRPORT, AK US",13/07/2018,0,,65,48
USW00025333,"SITKA AIRPORT, AK US",14/07/2018,0.32,,58,52
USW00025333,"SITKA AIRPORT, AK US",15/07/2018,0.75,,56,52
USW00025333,"SITKA AIRPORT, AK US",16/07/2018,0.61,,59,52
USW00025333,"SITKA AIRPORT, AK US",17/07/2018,0,,64,52
USW00025333,"SITKA AIRPORT, AK US",18/07/2018,0.16,,60,53
USW00025333,"SITKA AIRPORT, AK US",19/07/2018,0.14,,60,53
USW00025333,"SITKA AIRPORT, AK US",20/07/2018,0,,61,56
USW00025333,"SITKA AIRPORT, AK US",21/07/2018,0,,65,55
USW00025333,"SITKA AIRPORT, AK US",22/07/2018,0,,65,54
USW00025333,"SITKA AIRPORT, AK US",23/07/2018,0,,63,54
USW00025333,"SITKA AIRPORT, AK US",24/07/2018,0,,59,52
USW00025333,"SITKA AIRPORT, AK US",25/07/2018,0,,64,52
USW00025333,"SITKA AIRPORT, AK US",26/07/2018,0,,65,58
USW00025333,"SITKA AIRPORT, AK US",27/07/2018,0,,68,58
USW00025333,"SITKA AIRPORT, AK US",28/07/2018,0,,66,56
USW00025333,"SITKA AIRPORT, AK US",29/07/2018,0,,64,56
USW00025333,"SITKA AIRPORT, AK US",30/07/2018,0,,67,58
USW00025333,"SITKA AIRPORT, AK US",31/07/2018,0,,65,56
USW00025333,"SITKA AIRPORT, AK US",01/08/2018,0,,66,56
USW00025333,"SITKA AIRPORT, AK US",02/08/2018,0.17,,59,56
USW00025333,"SITKA AIRPORT, AK US",03/08/2018,0.01,,67,55
USW00025333,"SITKA AIRPORT, AK US",04/08/2018,0,,73,55
USW00025333,"SITKA AIRPORT, AK US",05/08/2018,0,,72,54
USW00025333,"SITKA AIRPORT, AK US",06/08/2018,0,,64,56
USW00025333,"SITKA AIRPORT, AK US",07/08/2018,0.07,,62,55
USW00025333,"SITKA AIRPORT, AK US",08/08/2018,2.62,,61,57
USW00025333,"SITKA AIRPORT, AK US",09/08/2018,0.65,,61,55
USW00025333,"SITKA AIRPORT, AK US",10/08/2018,0.01,,63,53
USW00025333,"SITKA AIRPORT, AK US",11/08/2018,0,,65,51
USW00025333,"SITKA AIRPORT, AK US",12/08/2018,0.05,,62,56
USW00025333,"SITKA AIRPORT, AK US",13/08/2018,1.29,,59,56
USW00025333,"SITKA AIRPORT, AK US",14/08/2018,0.09,,61,55
USW00025333,"SITKA AIRPORT, AK US",15/08/2018,0,,60,52
USW00025333,"SITKA AIRPORT, AK US",16/08/2018,0,,63,53
USW00025333,"SITKA AIRPORT, AK US",17/08/2018,0.2,,66,52
USW00025333,"SITKA AIRPORT, AK US",18/08/2018,0,,63,51
USW00025333,"SITKA AIRPORT, AK US",19/08/2018,0,,67,51
USW00025333,"SITKA AIRPORT, AK US",20/08/2018,0,,65,52
USW00025333,"SITKA AIRPORT, AK US",21/08/2018,0.25,,63,55
USW00025333,"SITKA AIRPORT, AK US",22/08/2018,0.46,,59,55
USW00025333,"SITKA AIRPORT, AK US",23/08/2018,0.02,,60,55
USW00025333,"SITKA AIRPORT, AK US",24/08/2018,0.39,,58,54
USW00025333,"SITKA AIRPORT, AK US",25/08/2018,0.32,,58,54
USW00025333,"SITKA AIRPORT, AK US",26/08/2018,0,,63,51
USW00025333,"SITKA AIRPORT, AK US",27/08/2018,0.63,,59,55
USW00025333,"SITKA AIRPORT, AK US",28/08/2018,1.33,,61,56
USW00025333,"SITKA AIRPORT, AK US",29/08/2018,0,,62,53
USW00025333,"SITKA AIRPORT, AK US",30/08/2018,0.21,,61,53
USW00025333,"SITKA AIRPORT, AK US",31/08/2018,0.23,,61,54
USW00025333,"SITKA AIRPORT, AK US",01/09/2018,0.39,,57,52
USW00025333,"SITKA AIRPORT, AK US",02/09/2018,0,,63,49
USW00025333,"SITKA AIRPORT, AK US",03/09/2018,0,,62,48
USW00025333,"SITKA AIRPORT, AK US",04/09/2018,0,,65,48
USW00025333,"SITKA AIRPORT, AK US",05/09/2018,0,,67,50
USW00025333,"SITKA AIRPORT, AK US",06/09/2018,0,,64,50
USW00025333,"SITKA AIRPORT, AK US",07/09/2018,0.14,,65,52
USW00025333,"SITKA AIRPORT, AK US",08/09/2018,0.01,,68,55
USW00025333,"SITKA AIRPORT, AK US",09/09/2018,0.01,,66,54
USW00025333,"SITKA AIRPORT, AK US",10/09/2018,0,,71,51
USW00025333,"SITKA AIRPORT, AK US",11/09/2018,0,,69,50
USW00025333,"SITKA AIRPORT, AK US",12/09/2018,0,,67,47
USW00025333,"SITKA AIRPORT, AK US",13/09/2018,0,,61,49
USW00025333,"SITKA AIRPORT, AK US",14/09/2018,0,,65,46
USW00025333,"SITKA AIRPORT, AK US",15/09/2018,0,,62,45
USW00025333,"SITKA AIRPORT, AK US",16/09/2018,0,,59,41
USW00025333,"SITKA AIRPORT, AK US",17/09/2018,0,,60,41
USW00025333,"SITKA AIRPORT, AK US",18/09/2018,0,,64,44
USW00025333,"SITKA AIRPORT, AK US",19/09/2018,0,,63,42
USW00025333,"SITKA AIRPORT, AK US",20/09/2018,0,,58,43
USW00025333,"SITKA AIRPORT, AK US",21/09/2018,0,,64,43
USW00025333,"SITKA AIRPORT, AK US",22/09/2018,0.12,,56,43
USW00025333,"SITKA AIRPORT, AK US",23/09/2018,0.79,,56,50
USW00025333,"SITKA AIRPORT, AK US",24/09/2018,0.22,,56,50
USW00025333,"SITKA AIRPORT, AK US",25/09/2018,1.52,,57,54
USW00025333,"SITKA AIRPORT, AK US",26/09/2018,0.31,,57,53
USW00025333,"SITKA AIRPORT, AK US",27/09/2018,0.03,,57,53
USW00025333,"SITKA AIRPORT, AK US",28/09/2018,0.01,,61,50
USW00025333,"SITKA AIRPORT, AK US",29/09/2018,0,,64,45
USW00025333,"SITKA AIRPORT, AK US",30/09/2018,0,,63,43
USW00025333,"SITKA AIRPORT, AK US",01/10/2018,0,,66,41
USW00025333,"SITKA AIRPORT, AK US",02/10/2018,0,,56,40
USW00025333,"SITKA AIRPORT, AK US",03/10/2018,0,,54,38
USW00025333,"SITKA AIRPORT, AK US",04/10/2018,0.01,,54,38
USW00025333,"SITKA AIRPORT, AK US",05/10/2018,0.78,,57,49
USW00025333,"SITKA AIRPORT, AK US",06/10/2018,0.08,,52,48
USW00025333,"SITKA AIRPORT, AK US",07/10/2018,0.25,,53,49
USW00025333,"SITKA AIRPORT, AK US",08/10/2018,0.23,,56,42
USW00025333,"SITKA AIRPORT, AK US",09/10/2018,0,,54,40
USW00025333,"SITKA AIRPORT, AK US",10/10/2018,1.51,,53,45
USW00025333,"SITKA AIRPORT, AK US",11/10/2018,0.4,,52,46
USW00025333,"SITKA AIRPORT, AK US",12/10/2018,0.02,,54,43
USW00025333,"SITKA AIRPORT, AK US",13/10/2018,0.4,,56,47
USW00025333,"SITKA AIRPORT, AK US",14/10/2018,0.38,,57,54
USW00025333,"SITKA AIRPORT, AK US",15/10/2018,0.02,,60,53
USW00025333,"SITKA AIRPORT, AK US",16/10/2018,1.5,,59,51
USW00025333,"SITKA AIRPORT, AK US",17/10/2018,0.16,,55,49
USW00025333,"SITKA AIRPORT, AK US",18/10/2018,0.08,,55,48
USW00025333,"SITKA AIRPORT, AK US",19/10/2018,0.87,,56,49
USW00025333,"SITKA AIRPORT, AK US",20/10/2018,0.2,,54,48
USW00025333,"SITKA AIRPORT, AK US",21/10/2018,0.08,,56,50
USW00025333,"SITKA AIRPORT, AK US",22/10/2018,0.93,,61,48
USW00025333,"SITKA AIRPORT, AK US",23/10/2018,0.25,,61,51
USW00025333,"SITKA AIRPORT, AK US",24/10/2018,0,,55,50
USW00025333,"SITKA AIRPORT, AK US",25/10/2018,0.49,,55,48
USW00025333,"SITKA AIRPORT, AK US",26/10/2018,0.6,,51,44
USW00025333,"SITKA AIRPORT, AK US",27/10/2018,0.01,,54,46
USW00025333,"SITKA AIRPORT, AK US",28/10/2018,0,,54,45
USW00025333,"SITKA AIRPORT, AK US",29/10/2018,0.24,,55,46
USW00025333,"SITKA AIRPORT, AK US",30/10/2018,0.23,,51,41
USW00025333,"SITKA AIRPORT, AK US",31/10/2018,0.03,,47,39
USW00025333,"SITKA AIRPORT, AK US",01/11/2018,0.06,,49,43
USW00025333,"SITKA AIRPORT, AK US",02/11/2018,0.3,,45,40
USW00025333,"SITKA AIRPORT, AK US",03/11/2018,0.35,,50,44
USW00025333,"SITKA AIRPORT, AK US",04/11/2018,0.3,,48,44
USW00025333,"SITKA AIRPORT, AK US",05/11/2018,0.01,,47,35
USW00025333,"SITKA AIRPORT, AK US",06/11/2018,0,,46,32
USW00025333,"SITKA AIRPORT, AK US",07/11/2018,0.04,,50,33
USW00025333,"SITKA AIRPORT, AK US",08/11/2018,0.49,,51,45
USW00025333,"SITKA AIRPORT, AK US",09/11/2018,0.25,,50,43
USW00025333,"SITKA AIRPORT, AK US",10/11/2018,0.23,,47,43
USW00025333,"SITKA AIRPORT, AK US",11/11/2018,0.13,,50,45
USW00025333,"SITKA AIRPORT, AK US",12/11/2018,0.08,,54,49
USW00025333,"SITKA AIRPORT, AK US",13/11/2018,0.56,,53,46
USW00025333,"SITKA AIRPORT, AK US",14/11/2018,0.92,,49,45
USW00025333,"SITKA AIRPORT, AK US",15/11/2018,0.14,,48,37
USW00025333,"SITKA AIRPORT, AK US",16/11/2018,0.52,,48,36
USW00025333,"SITKA AIRPORT, AK US",17/11/2018,1.65,,54,47
USW00025333,"SITKA AIRPORT, AK US",18/11/2018,0.88,,52,47
USW00025333,"SITKA AIRPORT, AK US",19/11/2018,0.02,,52,45
USW00025333,"SITKA AIRPORT, AK US",20/11/2018,0.43,,51,43
USW00025333,"SITKA AIRPORT, AK US",21/11/2018,0.06,,46,38
USW00025333,"SITKA AIRPORT, AK US",22/11/2018,0.18,,47,39
USW00025333,"SITKA AIRPORT, AK US",23/11/2018,0,,44,34
USW00025333,"SITKA AIRPORT, AK US",24/11/2018,0.04,,48,36
USW00025333,"SITKA AIRPORT, AK US",25/11/2018,0.04,,54,48
USW00025333,"SITKA AIRPORT, AK US",26/11/2018,0.73,,53,46
USW00025333,"SITKA AIRPORT, AK US",27/11/2018,0,,47,41
USW00025333,"SITKA AIRPORT, AK US",28/11/2018,0.28,,45,40
USW00025333,"SITKA AIRPORT, AK US",29/11/2018,0.13,,43,34
USW00025333,"SITKA AIRPORT, AK US",30/11/2018,0.03,,39,31
USW00025333,"SITKA AIRPORT, AK US",01/12/2018,0,,36,28
USW00025333,"SITKA AIRPORT, AK US",02/12/2018,0.02,,39,32
USW00025333,"SITKA AIRPORT, AK US",03/12/2018,0.02,,39,32
USW00025333,"SITKA AIRPORT, AK US",04/12/2018,0.02,,41,35
USW00025333,"SITKA AIRPORT, AK US",05/12/2018,0,,41,35
USW00025333,"SITKA AIRPORT, AK US",06/12/2018,0.01,,44,39
USW00025333,"SITKA AIRPORT, AK US",07/12/2018,0.04,,48,40
USW00025333,"SITKA AIRPORT, AK US",08/12/2018,0.06,,52,45
USW00025333,"SITKA AIRPORT, AK US",09/12/2018,0.42,,50,41
USW00025333,"SITKA AIRPORT, AK US",10/12/2018,1.3,,45,42
USW00025333,"SITKA AIRPORT, AK US",11/12/2018,0.92,,46,38
USW00025333,"SITKA AIRPORT, AK US",12/12/2018,0.05,,43,37
USW00025333,"SITKA AIRPORT, AK US",15/12/2018,0,,46,31
USW00025333,"SITKA AIRPORT, AK US",16/12/2018,0.31,,49,43
USW00025333,"SITKA AIRPORT, AK US",17/12/2018,0.35,,48,43
USW00025333,"SITKA AIRPORT, AK US",18/12/2018,0.62,,48,41
USW00025333,"SITKA AIRPORT, AK US",19/12/2018,0.28,,43,35
USW00025333,"SITKA AIRPORT, AK US",20/12/2018,0.42,,39,31
USW00025333,"SITKA AIRPORT, AK US",21/12/2018,0,,41,32
USW00025333,"SITKA AIRPORT, AK US",22/12/2018,0,,44,36
USW00025333,"SITKA AIRPORT, AK US",23/12/2018,0.08,,43,36
USW00025333,"SITKA AIRPORT, AK US",24/12/2018,0.61,,41,37
USW00025333,"SITKA AIRPORT, AK US",25/12/2018,0,,44,35
USW00025333,"SITKA AIRPORT, AK US",26/12/2018,0.21,,46,42
USW00025333,"SITKA AIRPORT, AK US",27/12/2018,0.26,,47,42
USW00025333,"SITKA AIRPORT, AK US",28/12/2018,0.03,,44,35
USW00025333,"SITKA AIRPORT, AK US",29/12/2018,0.13,,38,32
USW00025333,"SITKA AIRPORT, AK US",30/12/2018,0.2,,42,36
USW00025333,"SITKA AIRPORT, AK US",31/12/2018,0.89,,48,41
